hillary	trump	bill	ideo	econ	partyid	relative
60	15	50	5	4	6	45
0	85	30	5	4	6	-85
40	40	70	4	2	6	0
0	65	40	4	3	4	-65
80	0	85	2	2	2	80
60	30	40	3	2	2	30
0	85	0	6	5	7	-85
85	30	85	4	3	2	55
30	60	40	5	2	7	-30
0	40	30	5	4	6	-40
85	40	70	5	2	6	45
0	60	0	7	3	5	-60
85	0	85	2	2	2	85
0	0	50	6	5	4	0
0	85	0	6	3	6	-85
70	0	60	1	2	1	70
15	70	60	6	3	5	-55
85	0	85	3	2	3	85
50	50	60	4	3	3	0
85	0	70	1	3	1	85
0	60	100	4	5	2	-60
30	15	50	2	2	3	15
60	50	50	4	5	3	10
60	50	50	4	3	5	10
0	85	30	7	3	7	-85
0	100	0	7	4	7	-100
15	85	60	4	5	2	-70
0	70	15	4	3	7	-70
30	60	30	6	2	6	-30
0	60	50	5	3	5	-60
30	50	40	3	2	3	-20
60	15	60	3	3	3	45
100	0	85	2	2	1	100
0	85	0	6	3	6	-85
0	70	0	6	5	7	-70
70	70	85	5	3	4	0
70	0	70	3	2	1	70
0	85	30	6	3	7	-85
85	50	85	6	2	5	35
0	100	0	6	2	7	-100
0	70	70	4	4	5	-70
15	15	60	4	3	2	0
0	70	0	6	3	7	-70
70	70	40	5	2	5	0
0	60	15	6	5	7	-60
15	85	40	6	3	7	-70
85	0	85	2	2	1	85
0	100	0	5	3	4	-100
70	0	85	4	3	2	70
85	0	70	3	3	2	85
30	40	15	5	3	6	-10
30	0	30	1	2	3	30
50	85	40	4	3	5	-35
40	0	70	1	3	3	40
60	100	30	7	4	5	-40
0	85	50	6	3	7	-85
70	0	60	5	2	3	70
0	60	15	7	5	7	-60
30	15	50	5	3	6	15
5	30	40	4	3	5	-25
40	70	50	4	1	6	-30
85	0	70	2	2	1	85
15	60	15	5	3	6	-45
70	15	70	5	3	1	55
85	15	85	4	2	3	70
15	0	15	4	3	3	15
85	0	70	4	4	1	85
60	15	50	3	2	3	45
70	0	85	1	4	3	70
70	0	60	1	2	7	70
70	0	70	1	2	3	70
40	60	70	3	3	6	-20
0	50	0	5	5	6	-50
30	0	50	3	3	3	30
0	70	15	5	3	5	-70
0	100	50	7	5	7	-100
70	15	85	3	2	1	55
50	30	70	4	3	3	20
0	60	50	6	3	7	-60
60	70	85	5	3	3	-10
85	15	70	4	2	2	70
70	30	60	3	3	2	40
85	0	50	2	2	1	85
0	50	15	7	5	5	-50
70	0	70	2	3	1	70
15	85	15	4	4	6	-70
